session,trialno,difficulty,accuracy,period_in_trial,step_reached,durPeriodTotal,FixNb,FixNbInL,FixNbInR,FixNbInT,FixNbNoAOI,FixTotDurInL,FixTotDurInR,FixTotDurInT,FixTotDurInNoAOI,LookNb,LookNbInL,LookNbInR,LookNbInT,LookNbNoAOI,LookTotDurInL,LookTotDurInR,LookTotDurInT,NbSwitches,objL,objR,objT,sideChosen,sideMatch,timePeriodStarts,timePeriodEnds
curE104a,40,Medium,0.0,exploration,2,14190,34,25,7,1,1,8002,2392,456,240,7,4,3,0,0,9516,2632,528,7,V-4-G-3.png,V-1-A-4.png,V-4-G-3.png,right,left,4146.0,15506.0
curE104a,40,Medium,0.0,decision,2,10036,20,0,0,20,0,0,0,6078,0,2,0,0,2,0,0,0,7508,0,V-4-G-3.png,V-1-A-4.png,V-4-G-3.png,right,left,15508.0,25088.0
curE104a,43,Medium,0.0,exploration,3,4030,11,7,3,1,0,1918,460,314,36,6,3,2,1,0,2094,522,314,3,F-1-A-3.png,F-3-H-3.png,F-3-H-3.png,left,right,1584.0,5612.0
curE104a,43,Medium,0.0,decision,3,1034,3,1,0,2,0,542,0,424,0,1,0,0,1,0,542,0,492,0,F-1-A-3.png,F-3-H-3.png,F-3-H-3.png,left,right,5614.0,6646.0
curE104a,44,Medium,1.0,exploration,3,9264,9,0,9,0,0,0,3644,0,0,2,0,2,0,0,0,4034,0,2,O-3-B-4.png,O-1-D-2.png,O-3-B-4.png,left,left,1762.0,11024.0
curE104a,44,Medium,1.0,decision,3,2040,3,2,0,1,0,494,0,382,0,2,1,0,1,0,548,0,420,1,O-3-B-4.png,O-1-D-2.png,O-3-B-4.png,left,left,11026.0,13064.0
curE106a,9,Easy,0.0,exploration,3,4708,7,3,3,1,0,2556,996,460,0,2,1,1,0,0,2748,1072,532,2,F-2-G-3.png,A-1-C-3.png,A-1-C-3.png,left,right,1530.0,3906.0
curE106a,9,Easy,0.0,decision,3,3566,4,1,0,3,0,464,0,2888,0,1,0,0,1,0,542,0,3020,0,F-2-G-3.png,A-1-C-3.png,A-1-C-3.png,left,right,3908.0,7338.0
curE106a,10,Easy,1.0,exploration,3,8342,12,8,3,1,0,2918,572,474,0,3,2,1,0,0,3246,690,540,2,F-1-A-2.png,A-2-F-2.png,F-1-A-2.png,left,left,1484.0,6190.0
curE106a,10,Easy,1.0,decision,3,1516,4,1,0,3,0,474,0,848,0,1,0,0,1,0,534,0,978,0,F-1-A-2.png,A-2-F-2.png,F-1-A-2.png,left,left,6192.0,9756.0
curE106a,11,Easy,0.0,exploration,3,5396,6,4,0,1,1,3818,0,464,322,1,1,0,0,0,3940,0,0,1,V-2-B-3.png,F-2-G-3.png,F-2-G-3.png,left,right,1466.0,9806.0
curE106a,11,Easy,0.0,decision,3,3866,7,2,0,5,0,396,0,3138,0,2,1,0,1,0,464,0,3276,1,V-2-B-3.png,F-2-G-3.png,F-2-G-3.png,left,right,9808.0,11322.0
curE106a,14,Easy,1.0,exploration,2,4246,9,3,0,3,3,630,0,1190,1620,2,1,0,1,0,742,0,956,1,V-1-G-2.png,A-4-I-2.png,V-1-G-2.png,left,left,1512.0,5090.0
curE106a,14,Easy,1.0,decision,2,10040,13,0,0,13,0,0,0,7732,0,1,0,0,1,0,0,0,8496,0,V-1-G-2.png,A-4-I-2.png,V-1-G-2.png,left,left,5092.0,7306.0
curE106a,18,Medium,1.0,exploration,3,2682,5,3,1,1,0,738,164,484,0,2,1,1,0,0,842,198,540,2,O-3-B-4.png,O-2-H-3.png,O-3-B-4.png,left,left,1642.0,4322.0
curE106a,18,Medium,1.0,decision,3,2550,5,1,0,4,0,134,0,1790,0,2,1,0,1,0,134,0,1874,1,O-3-B-4.png,O-2-H-3.png,O-3-B-4.png,left,left,4324.0,6872.0
curE106a,19,Medium,0.0,exploration,3,4242,10,4,2,4,0,906,612,1802,22,3,1,1,1,0,1056,672,2016,2,F-2-G-2.png,F-3-A-1.png,F-3-A-1.png,left,right,1482.0,5722.0
curE106a,19,Medium,0.0,decision,3,3916,8,1,0,7,0,142,0,2952,8,2,1,0,1,0,142,0,3206,1,F-2-G-2.png,F-3-A-1.png,F-3-A-1.png,left,right,5724.0,9638.0
curE106a,21,Medium,1.0,exploration,3,4948,12,4,4,3,1,1026,1426,1506,140,3,1,1,1,0,1178,1646,1652,2,A-3-E-2.png,A-2-F-4.png,A-3-E-2.png,left,left,1590.0,6536.0
curE106a,21,Medium,1.0,decision,3,3666,7,2,0,5,0,378,0,2888,0,1,0,0,1,0,422,0,3066,0,A-3-E-2.png,A-2-F-4.png,A-3-E-2.png,left,left,6538.0,10202.0
curE106a,22,Medium,1.0,exploration,3,4260,11,2,5,3,1,466,1034,1830,102,3,1,1,1,0,524,1170,1918,2,F-2-G-3.png,F-1-A-1.png,F-1-A-1.png,right,right,1480.0,5738.0
curE106a,22,Medium,1.0,decision,3,4032,5,0,0,5,0,0,0,3012,0,1,0,0,1,0,0,0,3176,0,F-2-G-3.png,F-1-A-1.png,F-1-A-1.png,right,right,5740.0,9770.0
curE106a,23,Hard,1.0,exploration,3,11090,27,11,15,1,0,3656,3650,476,0,6,3,3,0,0,3968,4214,534,4,O-4-B-2.png,O-4-H-4.png,O-4-B-2.png,left,left,1550.0,12638.0
curE106a,23,Hard,1.0,decision,3,1950,4,1,0,3,0,446,0,1264,0,1,0,0,1,0,530,0,1416,0,O-4-B-2.png,O-4-H-4.png,O-4-B-2.png,left,left,12640.0,14588.0
curE106a,24,Hard,0.0,exploration,3,2632,7,3,3,1,0,1074,680,460,0,2,1,1,0,0,1154,806,532,2,F-3-A-2.png,F-3-G-4.png,F-3-G-4.png,left,right,1478.0,4108.0
curE106a,24,Hard,0.0,decision,3,3450,7,0,0,7,0,0,0,2114,0,1,0,0,1,0,0,0,2410,0,F-3-A-2.png,F-3-G-4.png,F-3-G-4.png,left,right,4110.0,7558.0
curE106a,25,Hard,1.0,exploration,3,10028,11,5,3,2,1,1200,1064,1432,40,2,0,1,1,0,1444,1158,1350,1,V-2-B-3.png,V-2-H-1.png,V-2-H-1.png,right,right,1266.0,11292.0
curE106a,25,Hard,1.0,decision,3,5714,13,0,2,11,0,0,242,4176,0,1,0,0,1,0,0,322,4710,0,V-2-B-3.png,V-2-H-1.png,V-2-H-1.png,right,right,11294.0,17006.0
curE106a,27,Hard,0.0,exploration,3,8364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F-3-A-1.png,F-3-G-4.png,F-3-G-4.png,left,right,1912.0,10274.0
curE106a,27,Hard,0.0,decision,3,1998,3,2,0,1,0,454,0,696,730,2,1,0,1,0,454,0,696,1,F-3-A-1.png,F-3-G-4.png,F-3-G-4.png,left,right,10276.0,12272.0
curE106a,28,Hard,1.0,exploration,3,5126,12,10,0,1,1,2412,0,456,156,1,1,0,0,0,2818,0,0,1,A-4-I-2.png,A-4-F-4.png,A-4-I-2.png,left,left,1484.0,6608.0
curE106a,28,Hard,1.0,decision,3,5336,10,1,0,9,0,174,0,4090,0,3,1,0,2,0,174,0,4456,1,A-4-I-2.png,A-4-F-4.png,A-4-I-2.png,left,left,6610.0,11944.0
curE106a,30,Hard,0.0,exploration,3,2544,7,2,4,1,0,474,840,454,0,1,1,0,0,0,496,1086,530,1,A-1-D-2.png,A-1-I-4.png,A-1-I-4.png,left,right,1602.0,4144.0
curE106a,30,Hard,0.0,decision,3,2582,6,2,0,4,0,336,0,1822,0,2,1,0,1,0,402,0,1986,1,A-1-D-2.png,A-1-I-4.png,A-1-I-4.png,left,right,4146.0,6726.0
curE106a,31,Hard,0.0,exploration,3,18404,30,23,4,1,2,13054,1578,452,420,5,3,2,0,0,14064,1762,530,3,F-3-A-2.png,F-3-G-4.png,F-3-G-4.png,left,right,1520.0,19922.0
curE106a,31,Hard,0.0,decision,3,2266,4,1,0,3,0,448,0,1556,0,1,0,0,1,0,534,0,1730,0,F-3-A-2.png,F-3-G-4.png,F-3-G-4.png,left,right,19924.0,22188.0
curE106a,33,Medium,1.0,exploration,3,9258,20,8,9,2,1,2066,4772,772,190,8,4,3,1,0,2242,5014,824,7,O-1-D-2.png,O-4-H-4.png,O-1-D-2.png,left,left,1478.0,10734.0
curE106a,33,Medium,1.0,decision,3,6364,8,1,0,7,0,454,0,5306,0,2,0,0,2,0,528,0,5618,0,O-1-D-2.png,O-4-H-4.png,O-1-D-2.png,left,left,10736.0,17098.0
curE106a,35,Medium,0.0,exploration,3,9174,17,7,8,2,0,4986,2152,318,0,9,5,3,1,0,5094,2464,368,4,O-4-B-2.png,O-2-J-2.png,O-2-J-2.png,left,right,1548.0,10720.0
curE106a,35,Medium,0.0,decision,3,2400,6,2,0,4,0,382,0,1670,0,1,0,0,1,0,472,0,1800,0,O-4-B-2.png,O-2-J-2.png,O-2-J-2.png,left,right,10722.0,13120.0
curE106a,37,Medium,1.0,exploration,3,3926,9,3,5,1,0,1050,1746,472,0,2,1,1,0,0,1124,1918,532,2,V-4-G-3.png,V-2-A-4.png,V-4-G-3.png,left,left,1518.0,5442.0
curE106a,37,Medium,1.0,decision,3,2332,6,1,0,4,1,396,0,1434,110,1,0,0,1,0,464,0,1552,0,V-4-G-3.png,V-2-A-4.png,V-4-G-3.png,left,left,5444.0,7774.0
curE106a,38,Medium,1.0,exploration,3,4792,10,6,2,1,1,2598,834,162,158,3,2,1,0,0,2812,906,166,3,O-2-H-3.png,O-3-B-4.png,O-3-B-4.png,right,right,1394.0,6184.0
curE106a,38,Medium,1.0,decision,3,2782,1,0,0,1,0,0,0,442,0,1,0,0,1,0,0,0,442,0,O-2-H-3.png,O-3-B-4.png,O-3-B-4.png,right,right,6186.0,8966.0
curE106a,40,Hard,1.0,exploration,3,5798,14,7,4,2,1,1404,750,1030,118,3,1,1,1,0,1646,822,1092,2,A-3-E-1.png,A-3-B-4.png,A-3-E-1.png,left,left,1526.0,7322.0
curE106a,40,Hard,1.0,decision,3,5166,9,1,0,8,0,200,0,4142,0,1,0,0,1,0,228,0,4524,0,A-3-E-1.png,A-3-B-4.png,A-3-E-1.png,left,left,7324.0,12488.0
curE106a,41,Hard,0.0,exploration,3,18986,25,12,12,1,0,2958,4866,462,0,3,1,2,0,0,3646,5414,530,3,V-1-G-1.png,V-1-A-4.png,V-1-A-4.png,left,right,1468.0,20452.0
curE106a,41,Hard,0.0,decision,3,4482,6,2,0,4,0,352,0,3640,0,2,1,0,1,0,390,0,3902,1,V-1-G-1.png,V-1-A-4.png,V-1-A-4.png,left,right,20454.0,24934.0
curE106a,44,Hard,1.0,exploration,3,5844,13,5,6,1,1,1506,2444,462,138,3,1,2,0,0,1684,2704,532,3,F-3-A-1.png,F-3-H-3.png,F-3-A-1.png,left,left,1532.0,7374.0
curE106a,44,Hard,1.0,decision,3,2800,5,1,0,3,1,474,0,1860,132,1,0,0,1,0,536,0,1972,0,F-3-A-1.png,F-3-H-3.png,F-3-A-1.png,left,left,7376.0,10174.0
