session,trialno,difficulty,accuracy,sideChosen,durExplorationPeriod,durDecisionPeriod,durPeriodTotal,SwitchesExplorationPeriod,SwitchesDecisionPeriod,NbSwitches,FixNbExplorationPeriod,FixNbDecisionPeriod,FixNb,FixNbInTDecision,FixNbInLExploration,FixNbInRExploration,FixNbBottomExploration,LookDurInTDecision,LookDurInLExploration,LookDurInRExploration,LookDurBottomExploration,prior_accuracy
curE011a,27,xHard,1.0,left,2414,2848,5262,2,1,3,7,8,15,6,3,3,6,2116,886,860,1746,
curE011a,28,xHard,1.0,left,10080,1016,11096,1,2,3,5,3,8,0,4,0,4,238,674,0,674,1.0
curE011a,34,xHard,0.0,left,14078,3948,18026,2,0,2,17,6,23,4,7,9,16,3172,2372,3988,6360,
curE011a,35,xHard,1.0,left,2328,2816,5144,1,1,2,6,6,12,4,5,0,5,2192,1560,0,1560,0.0
curE012a,7,Easy,0.0,right,3216,2148,5364,1,1,2,6,5,11,3,3,2,5,1732,1222,798,2020,
curE012a,8,Easy,1.0,right,2848,566,3414,2,1,3,4,2,6,0,1,2,3,412,176,1640,1816,0.0
curE012a,9,Easy,1.0,left,2482,1134,3616,2,0,2,6,3,9,2,2,3,5,1136,500,990,1490,1.0
curE012a,10,Medium,1.0,right,6418,1962,8380,3,0,3,9,4,13,3,1,6,7,2084,472,1932,2404,1.0
curE012a,12,Hard,0.0,left,3732,1134,4866,2,1,3,8,4,12,2,4,3,7,1080,1002,694,1696,
curE012a,13,Hard,1.0,left,6880,1032,7912,2,1,3,13,3,16,1,6,2,8,1222,1188,752,1940,0.0
curE012a,14,Hard,1.0,left,4666,3948,8614,2,0,2,8,4,12,3,1,5,6,1532,134,1734,1868,1.0
curE012a,16,xHard,0.0,left,2948,666,3614,2,1,3,4,2,6,0,2,1,3,534,906,1214,2120,
curE012a,17,xHard,0.0,left,5064,1504,6568,1,1,2,8,4,12,2,5,1,6,1558,1714,310,2024,0.0
curE012a,18,Hard,1.0,left,4664,1682,6346,2,0,2,9,3,12,2,7,1,8,1642,3264,410,3674,0.0
curE012a,25,xHard,1.0,right,2332,1498,3830,1,0,1,6,4,10,3,5,0,5,1930,1166,0,1166,
curE012a,26,xHard,0.0,left,2448,666,3114,1,1,2,7,2,9,0,6,0,6,412,1286,0,1286,1.0
curE012a,28,Hard,1.0,left,9496,6098,15594,2,0,2,17,8,25,8,4,12,16,1994,2674,3116,5790,
curE012a,29,Hard,1.0,left,3782,2316,6098,2,0,2,6,3,9,2,3,2,5,1492,1244,726,1970,1.0
curE012a,33,xHard,1.0,right,5310,6166,11476,2,0,2,12,4,16,4,7,3,10,1748,2676,1492,4168,
